long,short
accessControlPolicy,acp
accessControlPolicyAnnc,acpA
AE,ae
AEAnnc,aeA
container,cnt
containerAnnc,cntA
latest,la
oldest,ol
contentInstance,cin
contentInstanceAnnc,cinA
CSEBase,cb
delivery,dlv
eventConfig,evcg
execInstance,exin
fanOutPoint,fopt
group,grp
groupAnnc,grpA
locationPolicy,lcp
locationPolicyAnnc,lcpA
m2mServiceSubscriptionProfile,mssp
mgmtCmd,mgc
node,nod
nodeAnnc,nodA
pollingChannel,pch
ollingChannelURI,pcu
remoteCSE,csr
remoteCSEAnnc,csrA
request,req
schedule,sch
scheduleAnnc,schA
serviceSubscribedAppRule,asar
serviceSubscribedNode,svsn
statsCollect,stcl
statsConfig,stcg
subscription,sub
firmware,fwr
firmwareAnnc,fwrA
software,swr
softwareAnnc,swrA
memory,mem
memoryAnnc,memA
areaNwkInfo,ani
areaNwkInfoAnnc,aniA
areaNwkDeviceInfo,andi
areaNwkDeviceInfoAnnc,andiA
battery,bat
batteryAnnc,batA
deviceInfo,dvi
deviceInfoAnnc,dviA
deviceCapability,dvc
deviceCapabilityAnnc,dvcA
reboot,rbo
rebootAnnc,rboA
eventLog,evl
eventLogAnnc,evlA
cmdhPolicy,cmp
activeCmdhPolicy,acmp
cmdhDefaults,cmdf
cmdhDefEcValue,cmdv
cmdhEcDefParamValues,cmpv
cmdhLimits,cml
cmdhNetworkAccessRules,cmnr
cmdhNwAccessRule,cmwr
cmdhBuffer,cmbf
notificationTargetMgmtPolicyRef,ntpr
notificationTargetPolicy,ntp
policyDeletionRules,pdr
notificationTargetSelfReference,ntsr
dynamicAuthorizationConsultation,dac
semanticDescriptor,smd
semanticDescriptorAnnc,smdA
semanticFanOutPoint,sfop
timeSeries,ts
timeSeriesAnnc,tsa 
timeSeriesInstance,tsi
timeSeriesInstanceAnnc,tsia
trafficPattern,trpt
trafficPatternAnnc,trptA
role,rol
token,tk
genericInterworkingService,gis 
genericInterworkingServiceAnnc,gisa
genericInterworkingOperationInstance,gio
genericInterworkingOperationInstanceAnnc,gioa
svcObjWrapper,ajsw
svcObjWrapperAnnc,ajswa
svcFwWrapper,ajfw
svcFwWrapperAnnc,ajfwa
allJoynApp,ajap
allJoynAppAnnc,ajapa
allJoynSvcObject,ajso
allJoynSvcObjectAnnc,ajsoa
allJoynInterface,ajif
allJoynInterfaceAnnc,ajifa
allJoynMethod,ajmd
allJoynMethodAnnc,ajmda
allJoynMethodCall,ajmc
allJoynMethodCallAnnc,ajmca
allJoynProperty,ajpr
allJoynPropertyAnnc,ajpra
operation,op
to,to
from,fr
requestIdentifier,rqi
resourceType,ty
primitiveContent,pc
roleIDs,rids
originatingTimestamp,ot
requestExpirationTimestamp,rget
resultExpirationTimestamp,rset
operationExecutionTime,oet
responseType,rt
resultPersistence,rp
resultContent,rcn
eventCategory,ec
deliveryAggregation,da
groupRequestIdentifier,gid
filterCriteria,fc
discoveryResultType,drt
responseStatusCode,rsc
tokens,ts
tokenIDs,tids
tokenReqIndicator,tqi
localTokenIDs,ltids
assignedTokenIdentifiers,ati
tokenReqInfo,tqf
contentStatus,cnst
contentOffset,cnot
requestPrimitive,rqp
responsePrimitive,rsp
accessControlPolicyIDs,acpi
announcedAttribute,aa
announceTo,at
creationTime,ct
expirationTime,et
labels,lbl
lastModifiedTime,lt
Link,lnk
parentID,pi
resourceID,ri
stateTag,st
resourceName,rn
privileges,pv
selfPrivileges,pvs
App-ID,api
AE-ID,aei
appName,apn
